"TRANSACTION_ID";"DAY";"MONTH";"YEAR";"CREDIT_CARD_NO";"CUST_SSN";"BRANCH_CODE";"TRANSACTION_TYPE";"TRANSACTION_VALUE"
1;14;2;2018;"4210653349028689";123459988;114;"Education";78.9
2;20;3;2018;"4210653349028689";123459988;35;"Entertainment";14.24
3;8;7;2018;"4210653349028689";123459988;160;"Grocery";56.7
4;19;4;2018;"4210653349028689";123459988;114;"Entertainment";59.73
5;10;10;2018;"4210653349028689";123459988;93;"Gas";3.59
6;28;5;2018;"4210653349028689";123459988;164;"Education";6.89
7;19;5;2018;"4210653349028689";123459988;119;"Entertainment";43.39
8;8;8;2018;"4210653349028689";123459988;23;"Gas";95.39
9;18;3;2018;"4210653349028689";123459988;166;"Entertainment";93.26
10;3;9;2018;"4210653349028689";123459988;83;"Bills";100.38
11;21;8;2018;"4210653349028689";123459988;52;"Gas";98.75
12;24;12;2018;"4210653349028689";123459988;17;"Gas";42.71
13;3;4;2018;"4210653349028689";123459988;80;"Grocery";40.24
14;15;4;2018;"4210653349028689";123459988;50;"Bills";17.81
15;17;5;2018;"4210653349028689";123459988;123;"Bills";29.0
16;6;7;2018;"4210653349028689";123459988;9;"Test";70.63
17;28;9;2018;"4210653349028689";123459988;3;"Test";27.04
18;4;7;2018;"4210653349028689";123459988;135;"Entertainment";88.75
19;24;4;2018;"4210653349028689";123459988;103;"Test";77.02
20;8;10;2018;"4210653349028689";123459988;78;"Bills";34.34
21;23;10;2018;"4210653349028689";123459988;156;"Education";10.56
22;13;8;2018;"4210653349028689";123459988;20;"Education";6.7
23;17;3;2018;"4210653349028689";123459988;44;"Bills";7.97
24;11;5;2018;"4210653349028689";123459988;54;"Test";32.81
25;3;3;2018;"4210653349028689";123459988;119;"Entertainment";35.02
26;11;5;2018;"4210653349028689";123459988;121;"Test";86.3
27;14;12;2018;"4210653349028689";123459988;19;"Test";82.05
28;6;8;2018;"4210653349028689";123459988;43;"Healthcare";98.78
29;14;10;2018;"4210653349028689";123459988;7;"Grocery";9.49
30;4;12;2018;"4210653349028689";123459988;29;"Gas";17.03
31;24;10;2018;"4210653349028689";123459988;123;"Grocery";54.49
32;12;12;2018;"4210653349028689";123459988;66;"Education";13.34
33;20;10;2018;"4210653349028689";123459988;117;"Healthcare";24.37
34;9;11;2018;"4210653349028689";123459988;72;"Entertainment";53.03
35;9;9;2018;"4210653349028689";123459988;95;"Test";96.55
36;28;9;2018;"4210653349028689";123459988;32;"Education";62.82
37;12;4;2018;"4210653349028689";123459988;104;"Education";73.99
38;6;9;2018;"4210653349028689";123459988;158;"Education";63.08
